7.000000,7.000000,1.000000
3.937500,4.000000,0.984375
7.000000,7.000000,1.000000
1.690476,2.000000,0.845238
7.875000,8.000000,0.984375
6.770833,7.000000,0.967262
2.000000,2.000000,1.000000
7.000000,7.000000,1.000000
7.812500,8.000000,0.976562
1.928571,2.000000,0.964286
1.500000,2.000000,0.750000
1.857143,2.000000,0.928571
6.125000,7.000000,0.875000
2.000000,2.000000,1.000000
5.169643,6.000000,0.861607
0.375000,3.000000,0.125000
6.699405,7.000000,0.957058
7.000000,7.000000,1.000000
2.000000,2.000000,1.000000
2.875000,3.000000,0.958333
2.000000,2.000000,1.000000
6.875000,7.000000,0.982143
6.937500,7.000000,0.991071
5.250000,7.000000,0.750000
2.000000,2.000000,1.000000
6.416667,7.000000,0.916667
5.875000,7.000000,0.839286
1.875000,2.000000,0.937500
6.604167,7.000000,0.943452
1.708333,2.000000,0.854167
7.000000,7.000000,1.000000
1.937500,2.000000,0.968750
1.625000,2.000000,0.812500
6.020833,7.000000,0.860119
1.937500,2.000000,0.968750
7.000000,7.000000,1.000000
6.541667,7.000000,0.934524
5.479167,7.000000,0.782738
1.687500,2.000000,0.843750
1.750000,2.000000,0.875000
